comp,dir,date,val
maxLST,Canopy_func,2019_April_02,0.76501685
maxLST,Canopy_func,2019_April_03,1.1496269
maxLST,Canopy_func,2019_April_04,1.1916513
maxLST,Canopy_func,2019_April_05,
maxLST,Canopy_func,2019_April_06,1.0978032
maxLST,Canopy_func,2019_April_07,1.250852
maxLST,Canopy_func,2019_April_08,1.209571
maxLST,Canopy_func,2019_April_09,
maxLST,Canopy_func,2019_April_10,0.47963512
maxLST,Canopy_func,2019_April_11,
maxLST,Canopy_func,2019_April_12,0.0
maxLST,Canopy_func,2019_April_13,0.0
maxLST,Canopy_func,2019_April_14,0.0
maxLST,Canopy_func,2019_April_15,1.079225
maxLST,Canopy_func,2019_April_16,0.2926937
maxLST,Canopy_func,2019_April_17,
maxLST,Canopy_func,2019_April_18,1.1833525
maxLST,Canopy_func,2019_April_19,1.4497313
maxLST,Canopy_func,2019_April_20,
maxLST,Canopy_func,2019_April_21,1.4169929
maxLST,Canopy_func,2019_April_22,1.3621162
maxLST,Canopy_func,2019_April_23,1.626808
maxLST,Canopy_func,2019_April_24,1.6837608
maxLST,Canopy_func,2019_April_25,1.8045458
maxLST,Canopy_func,2019_April_26,1.8242805
maxLST,Canopy_func,2019_April_27,0.0
maxLST,Canopy_func,2019_April_28,0.0
maxLST,Canopy_func,2019_April_29,
maxLST,Canopy_func,2019_April_30,1.5052987
maxLST,Canopy_func,2019_August_02,2.2988796
maxLST,Canopy_func,2019_August_03,2.032451
maxLST,Canopy_func,2019_August_04,1.7053447
maxLST,Canopy_func,2019_August_05,
maxLST,Canopy_func,2019_July_02,-6.7641525
maxLST,Canopy_func,2019_July_03,
maxLST,Canopy_func,2019_July_04,1.6852818
maxLST,Canopy_func,2019_July_05,0.0
maxLST,Canopy_func,2019_July_06,2.8368146
maxLST,Canopy_func,2019_July_07,
maxLST,Canopy_func,2019_July_08,
maxLST,Canopy_func,2019_July_09,
maxLST,Canopy_func,2019_July_10,
maxLST,Canopy_func,2019_July_11,2.0927951
maxLST,Canopy_func,2019_July_12,0.0
maxLST,Canopy_func,2019_July_13,
maxLST,Canopy_func,2019_July_14,
maxLST,Canopy_func,2019_July_15,
maxLST,Canopy_func,2019_July_16,0.0
maxLST,Canopy_func,2019_July_17,
maxLST,Canopy_func,2019_July_18,1.7612014
maxLST,Canopy_func,2019_July_19,0.0
maxLST,Canopy_func,2019_July_20,
maxLST,Canopy_func,2019_July_21,
maxLST,Canopy_func,2019_July_22,0.0
maxLST,Canopy_func,2019_July_23,2.376452
maxLST,Canopy_func,2019_July_24,2.724241
maxLST,Canopy_func,2019_July_25,2.5886722
maxLST,Canopy_func,2019_July_26,2.4452872
maxLST,Canopy_func,2019_July_27,2.5985208
maxLST,Canopy_func,2019_July_28,
maxLST,Canopy_func,2019_July_29,
maxLST,Canopy_func,2019_July_30,
maxLST,Canopy_func,2019_July_31,
maxLST,Canopy_func,2019_June_02,2.6303647
maxLST,Canopy_func,2019_June_03,3.2484012
maxLST,Canopy_func,2019_June_04,2.8158417
maxLST,Canopy_func,2019_June_05,3.251044
maxLST,Canopy_func,2019_June_06,2.919356
maxLST,Canopy_func,2019_June_07,2.0842164
maxLST,Canopy_func,2019_June_08,
maxLST,Canopy_func,2019_June_09,2.4396157
maxLST,Canopy_func,2019_June_10,
maxLST,Canopy_func,2019_June_11,2.9583793
maxLST,Canopy_func,2019_June_12,3.1418967
maxLST,Canopy_func,2019_June_13,2.1987686
maxLST,Canopy_func,2019_June_14,2.4664726
maxLST,Canopy_func,2019_June_15,2.9130416
maxLST,Canopy_func,2019_June_16,
maxLST,Canopy_func,2019_June_17,2.080997
maxLST,Canopy_func,2019_June_18,2.6041522
maxLST,Canopy_func,2019_June_19,1.517332
maxLST,Canopy_func,2019_June_20,
maxLST,Canopy_func,2019_June_21,
maxLST,Canopy_func,2019_June_22,2.3871844
maxLST,Canopy_func,2019_June_23,
maxLST,Canopy_func,2019_June_24,2.4164493
maxLST,Canopy_func,2019_June_25,2.601657
maxLST,Canopy_func,2019_June_26,3.1421695
maxLST,Canopy_func,2019_June_27,2.1651123
maxLST,Canopy_func,2019_June_28,
maxLST,Canopy_func,2019_June_29,2.3122778
maxLST,Canopy_func,2019_June_30,2.8263648
maxLST,Canopy_func,2019_May_02,
maxLST,Canopy_func,2019_May_03,1.6121259
maxLST,Canopy_func,2019_May_04,
maxLST,Canopy_func,2019_May_05,1.4040484
