date,val
2019-04-01,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,2.811161
2019-04-06,
2019-04-07,
2019-04-08,1.4044726
2019-04-09,2.4910433
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-13,
2019-04-14,
2019-04-15,1.5476029
2019-04-16,2.614535
2019-04-17,
2019-04-18,
2019-04-19,
2019-04-20,
2019-04-21,
2019-04-22,
2019-04-23,
2019-04-24,
2019-08-01,
2019-08-02,
2019-08-03,
2019-08-04,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-10,3.8803694
2019-08-11,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-17,
2019-08-18,
2019-08-19,2.183473
2019-08-20,3.402628
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-24,
2019-08-25,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-06,
2019-07-07,
2019-07-08,4.92624
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-13,
2019-07-14,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,4.1305695
2019-07-20,4.4426956
2019-07-21,
2019-07-22,
2019-07-23,4.451155
2019-07-24,
2019-07-25,
2019-06-01,
2019-06-02,
2019-06-03,
2019-06-04,
2019-06-05,4.9676385
2019-06-06,2.964227
2019-06-07,
2019-06-08,
2019-06-09,4.5361266
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-15,
2019-06-16,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-22,
2019-06-23,
2019-06-24,
2019-06-25,
2019-06-26,
2019-05-01,
2019-05-02,
2019-05-03,
2019-05-04,2.6675103
2019-04-01,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,2.811161
2019-04-06,
2019-04-07,
2019-04-08,1.4044726
2019-04-09,2.4910433
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-13,
2019-04-14,
2019-04-15,1.5476029
2019-04-16,2.614535
2019-04-17,
2019-04-18,
2019-04-19,
2019-04-20,
2019-04-21,
2019-04-22,
2019-04-23,
2019-04-24,
2019-08-01,
2019-08-02,
2019-08-03,
2019-08-04,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-10,3.8803694
2019-08-11,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-17,
2019-08-18,
2019-08-19,2.183473
2019-08-20,3.402628
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-24,
2019-08-25,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-06,
2019-07-07,
2019-07-08,4.92624
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-13,
2019-07-14,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,4.1305695
2019-07-20,4.4426956
2019-07-21,
2019-07-22,
2019-07-23,4.451155
2019-07-24,
2019-07-25,
2019-06-01,
2019-06-02,
2019-06-03,
2019-06-04,
2019-06-05,4.9676385
2019-06-06,2.964227
2019-06-07,
2019-06-08,
2019-06-09,4.5361266
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-15,
2019-06-16,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-22,
2019-06-23,
2019-06-24,
2019-06-25,
2019-06-26,
2019-05-01,
2019-05-02,
2019-05-03,
2019-05-04,2.6675103
2019-05-05,3.7442396
2019-05-06,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-11,
2019-05-12,
2019-05-13,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-18,
2019-05-19,
2019-05-20,
2019-05-21,
2019-05-22,
2019-05-23,
2019-10-01,
2019-10-02,
2019-10-03,1.1511854
2019-10-04,0.6927326
2019-10-05,
2019-10-06,
2019-10-07,1.0944775
2019-10-08,0.43184647
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-12,
2019-10-13,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,1.2733496
2019-10-19,0.46944013
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,0.6395182
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-09-01,
2019-09-02,
2019-09-03,
2019-09-04,
2019-09-05,2.6640499
2019-09-06,1.9702109
2019-09-07,
2019-09-08,
2019-09-09,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-14,
2019-09-15,
2019-09-16,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,1.2199765
2019-09-21,
2019-09-22,
2019-09-23,
2019-09-24,
