Date,Stratum,Landsat,Guzinski,row,col
2019_05_17,0_1th,3.792303,2.0808544,10052,11101
2019_05_17,0_1th,4.350345,2.2753477,10434,10250
2019_05_17,0_1th,2.8119426,2.5151742,7062,10092
2019_05_17,0_1th,1.4939464,2.3897057,4528,4386
2019_05_17,0_1th,0.49810943,2.1138654,9590,8393
2019_05_17,0_1th,1.2138674,2.5142608,8352,10180
2019_05_17,0_1th,2.987992,2.3916674,11380,8701
2019_05_17,0_1th,0.58578914,2.127411,5041,4701
2019_05_17,0_1th,0.41244292,2.411697,2745,3421
2019_05_17,0_1th,2.4174442,2.4336858,8558,10381
2019_05_17,0_1th,1.6403006,1.7743694,11869,8792
2019_05_17,0_1th,2.3582082,2.6409652,8321,10570
2019_05_17,0_1th,1.9736009,0.61561614,8479,11484
2019_05_17,0_1th,1.925334,2.3615155,4845,6554
2019_05_17,0_1th,2.6285958,1.9518194,7524,8971
2019_05_17,0_1th,0.79827565,2.1950235,2755,3895
2019_05_17,0_1th,2.1461961,1.5087621,7742,6754
2019_05_17,0_1th,2.2516537,1.9796154,5547,5633
2019_05_17,0_1th,4.3684206,1.8233184,8090,7959
2019_05_17,0_1th,2.9945037,2.438445,9821,6895
2019_05_17,0_1th,2.9505925,2.6560092,11557,11009
2019_05_17,0_1th,1.6711191,1.1388738,8471,6226
2019_05_17,0_1th,0.9644448,2.4017088,3454,2978
2019_05_17,0_1th,0.54415524,2.3684978,11114,8040
2019_05_17,0_1th,2.2813027,1.5855196,6655,11043
2019_05_17,0_1th,3.69,2.0810037,4140,2376
2019_05_17,0_1th,0.4775724,2.7042556,9983,8688
2019_05_17,0_1th,1.850357,2.6333513,3690,2158
2019_05_17,0_1th,3.5367959,2.463405,7891,10087
2019_05_17,0_1th,0.9359753,2.1367977,4453,5069
2019_05_17,0_1th,3.9109511,2.6452696,12911,8431
2019_05_17,0_1th,1.6629273,2.264345,5154,5319
2019_05_17,0_1th,1.6611681,2.080986,10961,8975
2019_05_17,0_1th,2.6931067,2.7372994,10290,10892
2019_05_17,0_1th,2.2143,2.097926,2287,3331
2019_05_17,0_1th,2.2816923,2.3265612,4388,6727
2019_05_17,0_1th,1.4680485,2.5851192,4181,3341
2019_05_17,0_1th,3.1001842,2.5076926,9743,8730
2019_05_17,0_1th,2.7141032,2.44612,2912,3282
2019_05_17,0_1th,2.4041805,1.4516277,8595,9686
2019_05_17,0_1th,4.61,2.7768571,11644,9363
2019_05_17,0_1th,0.22210683,2.5315356,5876,5042
2019_05_17,0_1th,2.9904757,1.5818988,6230,9001
2019_05_17,0_1th,0.20251279,2.6118102,11091,9855
2019_05_17,0_1th,2.1756413,1.1093714,10793,8539
2019_05_17,0_1th,3.5328915,1.0071415,10452,11612
2019_05_17,0_1th,3.19794,2.723701,4422,4076
2019_05_17,0_1th,2.4464185,2.2995753,4420,5037
2019_05_17,0_1th,2.044854,2.0748754,9506,10301
2019_05_17,0_1th,1.1063442,2.3360949,8898,6923
2019_05_17,0_1th,0.41226396,2.7007213,11947,7382
2019_05_17,0_1th,3.8926299,2.7023036,11174,10304
2019_05_17,0_1th,0.81350374,1.979942,11637,9126
2019_05_17,0_1th,3.211546,2.7804418,11196,9209
2019_05_17,0_1th,1.1576034,2.2320986,3940,6648
2019_05_17,0_1th,3.989287,1.480591,11443,8762
2019_05_17,0_1th,2.427967,2.1175194,4861,6449
2019_05_17,0_1th,1.1356622,2.522024,9683,8346
2019_05_17,0_1th,2.0672083,2.7378802,4345,6257
2019_05_17,0_1th,3.5851839,1.0150689,8827,11761
2019_05_17,0_1th,2.0898585,2.1706338,3911,2174
2019_05_17,0_1th,3.5526068,2.4337788,10397,9351
2019_05_17,0_1th,4.2430444,2.7672637,11100,7493
2019_05_17,0_1th,0.6033863,2.6508985,12475,7323
2019_05_17,0_1th,0.95982856,2.41542,4887,5457
2019_05_17,0_1th,3.0794885,2.5975614,7371,7828
2019_05_17,0_1th,1.0074184,2.0761876,10212,11272
2019_05_17,0_1th,3.3832393,1.0137199,7411,7797
2019_05_17,0_1th,3.4976897,2.1287944,12311,7560
2019_05_17,0_1th,1.1894648,2.4362378,9557,8868
2019_05_17,0_1th,2.934524,2.449634,12450,7737
2019_05_17,0_1th,2.9718533,2.4602163,4166,6319
2019_05_17,0_1th,0.2690222,1.9596806,5408,5408
2019_05_17,0_1th,3.0752857,2.596789,3453,1538
2019_05_17,0_1th,0.7782845,2.1655884,6848,9456
2019_05_17,0_1th,1.4422565,2.3785665,3259,5496
2019_05_17,0_1th,1.9615891,2.5331903,4957,6533
2019_05_17,0_1th,3.0703607,2.2546022,10130,11081
2019_05_17,0_1th,3.1897616,2.2673771,4129,3865
2019_05_17,0_1th,2.0324454,0.8009172,6143,5698
2019_05_17,0_1th,4.003086,2.7036443,8131,7318
2019_05_17,0_1th,1.4326347,2.1093233,4985,4782
2019_05_17,0_1th,4.5103893,2.7453678,6407,10349
2019_05_17,0_1th,3.0844128,2.4967134,10803,8472
2019_05_17,0_1th,0.2793473,2.702176,8057,10139
2019_05_17,0_1th,1.231812,2.6827455,9817,7202
2019_05_17,0_1th,2.0648024,1.94246,4223,2556
2019_05_17,0_1th,3.051185,2.6397433,10944,9030
2019_05_17,0_1th,2.7961054,1.9980422,6413,4583
2019_05_17,0_1th,4.0123243,2.7143533,11355,6958
2019_05_17,0_1th,3.3328562,2.3815556,10407,7127
2019_05_17,0_1th,0.8621045,2.230226,9772,7224
2019_05_17,0_1th,4.0344296,1.9738882,8985,11792
2019_05_17,0_1th,0.7850691,2.7642055,5412,5430
2019_05_17,0_1th,2.469602,2.0577068,10009,10166
2019_05_17,0_1th,4.161685,2.4117239,6793,9903
2019_05_17,0_1th,2.6250987,2.7673051,9971,10964
2019_05_17,0_1th,3.378682,2.7612147,11994,9206
2019_05_17,0_1th,0.19413419,2.3675017,2813,2400
2019_05_17,0_1th,2.1960063,2.6948,10766,10088
2019_05_17,0_1th,1.4092861,2.5554423,9728,9728
2019_05_17,0_1th,1.9396802,1.3859121,9919,8958
2019_05_17,0_1th,1.8620526,2.2596514,4584,2435
2019_05_17,0_1th,1.9093292,2.4477077,8590,9960
2019_05_17,0_1th,3.9079359,2.2614627,10565,6833
2019_05_17,0_1th,3.47937,2.7335305,10753,9544
2019_05_17,0_1th,2.188412,2.4173331,7989,6282
2019_05_17,0_1th,1.8324368,2.3269217,6112,5245
2019_05_17,0_1th,1.7907909,2.3112113,8934,10051
2019_05_17,0_1th,1.6854775,0.5675467,10497,11602
2019_05_17,0_1th,2.6810431,2.752575,5362,4536
2019_05_17,0_1th,3.719177,2.0746324,12497,7746
2019_05_17,0_1th,3.6654851,2.3345084,7865,8775
2019_05_17,0_1th,3.5806613,2.7082796,4635,3409
2019_05_17,0_1th,2.8768756,2.7137153,11634,9077
2019_05_17,0_1th,2.8890624,2.611113,11163,7457
2019_05_17,0_1th,1.0469692,2.7208035,4212,4289
2019_05_17,0_1th,2.126528,2.0037374,8117,10359
2019_05_17,0_1th,3.5409088,2.3543286,12371,9272
2019_05_17,0_1th,2.7522132,2.6160252,7638,10892
2019_05_17,0_1th,1.2000235,2.1665566,3170,1424
2019_05_17,0_1th,2.3355424,1.7606845,9264,9328
2019_05_17,0_1th,0.44223118,2.4657514,10051,11021
2019_05_17,0_1th,1.6800772,2.5933812,4334,4861
2019_05_17,0_1th,4.2895145,2.1034253,10928,6939
2019_05_17,0_1th,2.0978067,2.4688478,3791,6214
2019_05_17,0_1th,0.6099896,2.0385067,3045,3075
2019_05_17,0_1th,1.0575976,2.1978521,6047,5516
2019_05_17,0_1th,2.0420895,1.999503,3804,4257
2019_05_17,0_1th,2.7336895,2.2736156,9044,11976
2019_05_17,0_1th,2.5026958,2.483216,4280,4864
2019_05_17,0_1th,3.5773294,2.7397947,11402,9297
2019_05_17,0_1th,2.492762,2.5444765,5960,5654
2019_05_17,0_1th,1.9396352,1.9118372,8711,7234
2019_05_17,0_1th,3.031958,1.4296677,10078,10900
2019_05_17,0_1th,0.0412857,2.3216581,6731,8383
2019_05_17,0_1th,4.1443586,1.8859444,10675,10441
2019_05_17,0_1th,2.3459804,2.652132,6501,5069
2019_05_17,0_1th,1.4942791,2.4297838,3559,6297
2019_05_17,0_1th,2.3972967,2.6559746,4188,2567
2019_05_17,0_1th,0.82075155,2.3735416,5395,3685
2019_05_17,0_1th,4.300165,2.0406766,11190,8162
2019_05_17,0_1th,0.8155175,2.7247853,12564,8263
2019_05_17,0_1th,3.5818632,1.953,11752,8049
2019_05_17,0_1th,3.398838,2.4224284,10131,10696
2019_05_17,0_1th,1.3942482,1.1495156,5372,5944
2019_05_17,0_1th,2.2192245,2.6645663,11775,10819
2019_05_17,0_1th,3.5012372,1.9567459,6743,8808
2019_05_17,0_1th,0.95993155,2.678033,12380,9500
2019_05_17,0_1th,3.5761943,1.6299696,7574,11141
2019_05_17,0_1th,1.6151173,2.733159,3805,226
2019_05_17,0_1th,3.9372892,2.2406201,9134,11207
2019_05_17,0_1th,1.8514344,2.665142,2345,3148
2019_05_17,0_1th,1.8369421,2.4747543,8046,6373
2019_05_17,0_1th,3.6823127,2.5476131,11080,7563
2019_05_17,0_1th,2.1101756,2.5589073,5544,4527
2019_05_17,0_1th,2.0524867,2.7027164,4887,6657
2019_05_17,0_1th,1.7613901,2.1614072,4232,7108
2019_05_17,0_1th,2.074444,2.5127358,9812,8846
2019_05_17,0_1th,0.45824936,2.2430482,3500,4009
2019_05_17,0_1th,1.4662067,2.134723,8732,10244
2019_05_17,0_1th,2.686299,2.4453816,11041,7720
2019_05_17,0_1th,1.514665,2.734148,5501,5810
2019_05_17,0_1th,2.2610672,2.5506177,2743,3080
2019_05_17,0_1th,3.45205,2.1946344,6196,9041
2019_05_17,0_1th,2.2572386,2.785308,5362,5728
