folder,comp,day,mask,maxLST,minLST,25thLST,medianLST,75thLST
S2only,maxLST,July_01,S2Masked_withLSTmask,337.80075,273.0311,295.69036865234375,301.23809814453125,305.3236999511719
S2only,maxLST,July_01,S2Masked_withoutLSTmask,334.99487,272.0916,295.3375549316406,300.2081298828125,304.2042236328125
S2only,maxLST,July_01,S2notMasked_withLSTmask,336.789,271.22714,295.5903625488281,301.19403076171875,305.4732360839844
S2only,maxLST,July_01,S2notMasked_withoutLSTmask,339.46628,270.40854,295.13409423828125,300.1949462890625,304.4544372558594
S2only,maxLST,July_02,S2Masked_withLSTmask,320.9113,269.71057,286.5084228515625,288.8415832519531,294.5932312011719
S2only,maxLST,July_02,S2Masked_withoutLSTmask,322.25485,268.35248,286.79071044921875,288.8554382324219,293.7345275878906
S2only,maxLST,July_02,S2notMasked_withLSTmask,321.43063,270.1746,286.42047119140625,288.9032287597656,294.6463623046875
S2only,maxLST,July_02,S2notMasked_withoutLSTmask,322.6452,269.23306,286.65423583984375,288.8842468261719,293.8592224121094
S2only,maxLST,July_03,S2Masked_withLSTmask,329.0527,269.86554,285.00048828125,286.1145324707031,288.90069580078125
S2only,maxLST,July_03,S2Masked_withoutLSTmask,328.77728,269.2237,285.2485046386719,286.2709655761719,288.4521789550781
S2only,maxLST,July_03,S2notMasked_withLSTmask,326.04007,267.60687,284.9360656738281,286.1417541503906,289.1036071777344
S2only,maxLST,July_03,S2notMasked_withoutLSTmask,326.88336,266.16327,285.1220397949219,286.2516784667969,288.7065124511719
S2only,maxLST,July_04,S2Masked_withLSTmask,316.75436,278.57303,297.9207763671875,300.29827880859375,302.7528381347656
S2only,maxLST,July_04,S2Masked_withoutLSTmask,319.19962,279.92288,296.39208984375,299.5208435058594,302.6474304199219
S2only,maxLST,July_04,S2notMasked_withLSTmask,317.31015,278.8328,297.8194580078125,300.36395263671875,302.8711242675781
S2only,maxLST,July_04,S2notMasked_withoutLSTmask,320.39783,277.7013,296.3137893676758,299.65631103515625,302.7294616699219
S2only,maxLST,July_05,S2Masked_withLSTmask,314.9092,275.82156,287.8182678222656,288.677001953125,289.68304443359375
S2only,maxLST,July_05,S2Masked_withoutLSTmask,314.70615,275.65976,287.8854064941406,288.71868896484375,289.671875
S2only,maxLST,July_05,S2notMasked_withLSTmask,314.98108,275.7459,287.7958068847656,288.6670837402344,289.69488525390625
S2only,maxLST,July_05,S2notMasked_withoutLSTmask,316.52744,275.714,287.8162841796875,288.7059020996094,289.7222595214844
S2only,maxLST,July_06,S2Masked_withLSTmask,291.59286,282.18555,284.79840087890625,285.3318176269531,285.8343200683594
S2only,maxLST,July_06,S2Masked_withoutLSTmask,291.02588,282.46606,284.7325134277344,285.24755859375,285.7392272949219
S2only,maxLST,July_06,S2notMasked_withLSTmask,291.63055,282.15796,284.78070068359375,285.3163146972656,285.83636474609375
S2only,maxLST,July_06,S2notMasked_withoutLSTmask,292.32352,282.58264,284.6873779296875,285.23724365234375,285.7784729003906
S2only,maxLST,July_07,S2Masked_withLSTmask,313.13202,271.60416,285.96978759765625,291.1846008300781,295.021728515625
S2only,maxLST,July_07,S2Masked_withoutLSTmask,314.3499,272.82684,285.7721862792969,290.1041564941406,294.0230407714844
S2only,maxLST,July_07,S2notMasked_withLSTmask,311.87692,273.09857,286.0047607421875,291.1472473144531,295.1285095214844
S2only,maxLST,July_07,S2notMasked_withoutLSTmask,315.48206,272.49893,285.746337890625,290.03790283203125,294.22406005859375
S2only,maxLST,July_08,S2Masked_withLSTmask,317.1581,273.73074,285.378662109375,290.5050048828125,295.5612487792969
S2only,maxLST,July_08,S2Masked_withoutLSTmask,316.20804,273.221,285.2884826660156,290.123046875,294.52667236328125
S2only,maxLST,July_08,S2notMasked_withLSTmask,318.47787,273.37802,285.3603820800781,290.4312438964844,295.6266174316406
S2only,maxLST,July_08,S2notMasked_withoutLSTmask,316.6356,273.8539,285.3352355957031,289.79779052734375,294.70013427734375
S2only,maxLST,July_09,S2Masked_withLSTmask,319.7229,271.87607,284.59490966796875,285.4529724121094,286.4513244628906
S2only,maxLST,July_09,S2Masked_withoutLSTmask,323.54395,272.98462,284.7474670410156,285.69476318359375,286.6913757324219
S2only,maxLST,July_09,S2notMasked_withLSTmask,320.21506,272.3156,284.5708312988281,285.4383544921875,286.46258544921875
S2only,maxLST,July_09,S2notMasked_withoutLSTmask,321.94205,272.60672,284.6908264160156,285.6258544921875,286.7090759277344
S2only,minVZA,July_01,S2Masked_withLSTmask,338.6149,274.61545,290.3063049316406,291.9552307128906,295.1116180419922
S2only,minVZA,July_01,S2Masked_withoutLSTmask,343.64487,274.77747,290.4569396972656,292.1444396972656,295.1705017089844
S2only,minVZA,July_01,S2notMasked_withLSTmask,338.39615,272.255,290.2979736328125,291.966064453125,295.1855163574219
S2only,minVZA,July_01,S2notMasked_withoutLSTmask,343.36368,273.01575,290.4377136230469,292.1620788574219,295.2549133300781
S2only,minVZA,July_02,S2Masked_withLSTmask,324.19852,268.42844,285.04052734375,286.1291198730469,287.5048828125
S2only,minVZA,July_02,S2Masked_withoutLSTmask,325.34473,265.92355,285.3023376464844,286.3652038574219,287.7445068359375
S2only,minVZA,July_02,S2notMasked_withLSTmask,322.28937,266.80603,284.96429443359375,286.1263732910156,287.5662536621094
S2only,minVZA,July_02,S2notMasked_withoutLSTmask,324.66162,267.9395,285.215576171875,286.3442687988281,287.77093505859375
S2only,minVZA,July_03,S2Masked_withLSTmask,325.89517,269.5689,285.0125427246094,285.968994140625,287.7510681152344
S2only,minVZA,July_03,S2Masked_withoutLSTmask,329.67307,270.49826,285.2283935546875,286.13812255859375,287.6630859375
S2only,minVZA,July_03,S2notMasked_withLSTmask,327.96906,268.39276,284.9566650390625,285.9865417480469,287.94512939453125
S2only,minVZA,July_03,S2notMasked_withoutLSTmask,327.74078,266.873,285.1298828125,286.1025390625,287.8573303222656
S2only,minVZA,July_04,S2Masked_withLSTmask,317.8268,279.87454,297.3829650878906,299.6500244140625,301.94476318359375
S2only,minVZA,July_04,S2Masked_withoutLSTmask,320.4862,279.5082,295.65533447265625,298.61383056640625,301.3024597167969
S2only,minVZA,July_04,S2notMasked_withLSTmask,318.4692,280.01477,297.30010986328125,299.7197570800781,302.061279296875
S2only,minVZA,July_04,S2notMasked_withoutLSTmask,321.44604,278.51593,295.5840148925781,298.7643127441406,301.5300598144531
S2only,minVZA,July_05,S2Masked_withLSTmask,315.23514,275.14334,287.7928466796875,288.62713623046875,289.5985107421875
S2only,minVZA,July_05,S2Masked_withoutLSTmask,315.981,275.12994,287.84637451171875,288.65850830078125,289.5804138183594
S2only,minVZA,July_05,S2notMasked_withLSTmask,314.91296,276.12564,287.7662353515625,288.6131896972656,289.6075134277344
S2only,minVZA,July_05,S2notMasked_withoutLSTmask,317.05814,276.0742,287.7840881347656,288.6512451171875,289.63372802734375
S2only,minVZA,July_06,S2Masked_withLSTmask,291.75226,282.0678,284.7873229980469,285.31634521484375,285.8031005859375
S2only,minVZA,July_06,S2Masked_withoutLSTmask,290.75266,282.13376,284.7237548828125,285.2388000488281,285.7121887207031
S2only,minVZA,July_06,S2notMasked_withLSTmask,291.72507,281.62778,284.7753601074219,285.2995300292969,285.8057556152344
S2only,minVZA,July_06,S2notMasked_withoutLSTmask,292.4628,282.35904,284.67218017578125,285.2085266113281,285.75787353515625
S2only,minVZA,July_07,S2Masked_withLSTmask,312.4959,272.66794,285.80657958984375,290.6534729003906,294.54864501953125
S2only,minVZA,July_07,S2Masked_withoutLSTmask,314.67007,273.19785,285.6565856933594,289.623779296875,293.52972412109375
