Tile,preds,composite,date,LST_Mask,S2_Mask,ET_var,Mask_Name,name_var,vmax,vmin,vp25,vp50,vp75,vlenght
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,AZI,148.79376,148.17567,148.64707946777344,148.66188049316406,148.67066955566406,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,AZI,148.84795,147.97571,148.24427795410156,148.41123962402344,148.57826232910156,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,AZI,148.79376,148.17567,148.64714813232422,148.66188049316406,148.67060089111328,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,AZI,148.84795,147.97571,148.24427795410156,148.41123962402344,148.57826232910156,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,DEW,289.99066,289.79974,289.9287414550781,289.9485168457031,289.95404052734375,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,DEW,290.01968,289.5818,289.8153076171875,289.8898010253906,289.93560791015625,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,DEW,289.99066,289.79974,289.9287567138672,289.9486083984375,289.95404052734375,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,DEW,290.01968,289.5818,289.8153076171875,289.8898010253906,289.93560791015625,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,LAI,4.513179,1.0917797,2.2827560901641846,2.9109606742858887,3.454000473022461,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,LAI,4.980452,0.26390618,1.4639512300491333,2.788947582244873,3.608058452606201,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,LAI,4.513179,1.0917797,2.280598998069763,2.9109606742858887,3.451461672782898,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,LAI,4.980452,0.26390618,1.4639526307582855,2.788947582244873,3.608058452606201,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,LAI_pos,4.513179,1.0917797,2.2827560901641846,2.9109606742858887,3.454000473022461,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,LAI_pos,4.980452,0.26390618,1.4639512300491333,2.788947582244873,3.608058452606201,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,LAI_pos,4.513179,1.0917797,2.280598998069763,2.9109606742858887,3.451461672782898,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,LAI_pos,4.980452,0.26390618,1.4639526307582855,2.788947582244873,3.608058452606201,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,LST,318.79398,306.28445,313.2654113769531,314.3962707519531,315.4422607421875,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,LST,318.04233,299.1163,304.59405517578125,306.4304656982422,308.2605285644531,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,LST,318.79398,309.64465,313.2715759277344,314.4181213378906,315.4422607421875,995
